Country,Area,Municipio,x,y
Guatemala,Sacatepéquez, Santa María de Jesús,-90.72667,14.51833
Guatemala,Santa Rosa, Santa María Ixhuatán,-90.27806,13.86444
Guatemala,Sololá, Santa María Visitación,-91.18087067,14.61938007
Guatemala,Santa Rosa, Santa Rosa de Lima,-90.35582635,14.15303318
Guatemala,Sololá, Santiago Atitlán,-91.22901,14.63823
Guatemala,Sacatepéquez, Santiago Sacatepéquez,-90.67639,14.63528
Guatemala,Suchitepéquez, Santo Domingo Suchitepéquez,-91.43999229,14.47065294
Guatemala,Sacatepéquez, Santo Domingo Xenacoj,-90.72594543,14.5601109
Guatemala,Suchitepéquez, Santo Tomás La Unión,-91.38333,14.63333
Guatemala,San Marcos, Sibinal,-91.93149829,15.01956398
Guatemala,San Marcos, Sipacapa,-91.93149829,15.01956398
Guatemala,Sololá, Sololá,-91.18087067,14.61938007
Guatemala,Sacatepéquez, Sumpango,-90.7455508,14.55447496
Guatemala,San Marcos, Tacaná,-91.93149829,15.01956398
Guatemala,San Marcos, Tajumulco,-91.93149829,15.01956398
Guatemala,Santa Rosa, Taxisco,-90.35582635,14.15303318
Guatemala,Zacapa, Teculután,-89.50799435,15.03882573
Guatemala,San Marcos, Tejutla,-91.93149829,15.01956398
Guatemala,Totonicapán, Totonicapán,-91.36667,14.91667
Guatemala,Zacapa, Usumatlán,-89.50799435,15.03882573
Guatemala,Zacapa, Zacapa,-89.50799435,15.03882573
Guatemala,Suchitepéquez, Zunilito,-91.51667,14.61667
Guatemala,Chimaltenango,Acatenango,-90.92212206,14.6965749
Guatemala,Jutiapa,Agua Blanca,-89.89924748,14.20975815
Guatemala,Huehuetenango,Aguacatlán,-91.56141395,15.65060596
Guatemala,Quetzaltenango,Almolonga,-91.71338713,14.7880793
Guatemala,Sacatepéquez,Alotenango,-90.7455508,14.55447496
Guatemala,Guatemala,Amatitlán,-90.4905404,14.62343636
Guatemala,Jutiapa,Asunción Mita,-89.89924748,14.20975815
Guatemala,Jutiapa,Atescatempa,-89.89924748,14.20975815
Guatemala,San Marcos,Ayutla,-91.93149829,15.01956398
Guatemala,Zacapa,Cabañas,-89.50799435,15.03882573
Guatemala,Quetzaltenango,Cabricán,-91.61667,15.13333
Guatemala,Quetzaltenango,Cajolá,-91.61667,14.91667
Guatemala,Chiquimula,Camotán,-89.42550799,14.68875757
Guatemala,Quiché,Canillá,-90.94953373,15.45303782
Guatemala,Quetzaltenango,Cantel,-91.71338713,14.7880793
Guatemala,Alta Verapaz,Chahal,-90.10134012,15.64019212
Guatemala,Quiché,Chajul,-90.94953373,15.45303782
Guatemala,Retalhuleu,Champerico ,-91.85454827,14.37632
Guatemala,Huehuetenango,Chiantla,-91.56141395,15.65060596
Guatemala,Suchitepéquez,Chicacao,-91.43999229,14.47065294
Guatemala,Quiché,Chicamán,-90.94953373,15.45303782
Guatemala,Quiché,Chiché,-90.94953373,15.45303782
Guatemala,Chimaltenango,Chimaltenango,-90.81667,14.66861
Guatemala,Guatemala,Chinautla,-90.4905404,14.62343636
Guatemala,Quiché,Chinique,-90.94953373,15.45303782
Guatemala,Chiquimula,Chiquimula,-89.55,14.8
Guatemala,Alta Verapaz,Chisec,-90.10134012,15.64019212
Guatemala,Guatemala,Chuarrancho,-90.4905404,14.62343636
Guatemala,Guatemala,Ciudad de Guatemala,-90.51327,14.64072
Guatemala,Quetzaltenango,Coatepeque,-91.71338713,14.7880793
Guatemala,Alta Verapaz,Cobán,-90.10134012,15.64019212
Guatemala,Quetzaltenango,Colomba Costa Cuca,-91.71338713,14.7880793
Guatemala,Huehuetenango,Colotenango,-91.56141395,15.65060596
Guatemala,Jutiapa,Comapa,-89.89924748,14.20975815
Guatemala,Quetzaltenango,Concepción Chiquirichapa,-91.71338713,14.7880793
Guatemala,Huehuetenango,Concepción Huista,-91.68333,15.61667
Guatemala,Chiquimula,Concepción las minas,-89.45,14.8
Guatemala,Jutiapa,Conguaco,-89.89924748,14.20975815
Guatemala,Baja Verapaz,Cubulco,-90.58333,15.13333
Guatemala,Huehuetenango,Cuilco,-91.56141395,15.65060596
Guatemala,Quiché,Cunén,-90.94953373,15.45303782
Guatemala,Petén,Dolores,-90.02071868,16.97973195
Guatemala,Jutiapa,El Adelanto,-89.89924748,14.20975815
Guatemala,Retalhuleu,El Asintal ,-91.85454827,14.37632
Guatemala,Petén,El Chal,-90.02071868,16.97973195
Guatemala,Izabal,El Estor,-88.92416215,15.43712489
Guatemala,El Progreso,El jícaro,-90.26667,14.86667
Guatemala,Quetzaltenango,El Palmar,-91.58333,14.65
Guatemala,Jutiapa,El Progreso,-89.89924748,14.20975815
Guatemala,Chimaltenango,El Tejar,-90.92212206,14.6965749
Guatemala,Escuintla,Escuintla,-90.785,14.305
Guatemala,Chiquimula,Esquipulas,-89.42550799,14.68875757
Guatemala,Petén,Flores,-89.89941,16.92258
Guatemala,Quetzaltenango,Flores Costa Cuca,-91.81667,14.65
Guatemala,Guatemala,Fraijanes,-90.4905404,14.62343636
Guatemala,Alta Verapaz,Fray Bartolomé de las Casas,-90.10134012,15.64019212
Guatemala,Quetzaltenango,Génova,-91.71338713,14.7880793
Guatemala,Baja Verapaz,Granados,-90.38505493,15.11763409
Guatemala,Escuintla,Guanagazapa,-91.00738738,14.1651146
Guatemala,El Progreso,Guastatoya,-90.08239394,14.90855374
Guatemala,Huehuetenango,Huehuetenango,-91.47083,15.31972
Guatemala,Quetzaltenango,Huitán,-91.61667,15.1
Guatemala,Chiquimula,Ipala,-89.42550799,14.68875757
Guatemala,Quiché,Ixcán,-90.94953373,15.45303782
Guatemala,Escuintla,Iztapa,-91.00738738,14.1651146
Guatemala,Huehuetenango,Jacaltenango,-91.73333,15.66667
Guatemala,Jalapa,Jalapa,-89.94599608,14.621231
Guatemala,Jutiapa,Jalpatagua,-89.89924748,14.20975815
Guatemala,Jutiapa,Jerez,-89.89924748,14.20975815
Guatemala,Chiquimula,Jocotán,-89.42550799,14.68875757
Guatemala,Quiché,Joyabaj,-90.94953373,15.45303782
Guatemala,Jutiapa,Jutiapa,-89.9,14.28333
Guatemala,Escuintla,La Democracia,-90.92349182,14.24273228
Guatemala,Huehuetenango,La Democracia,-91.86667,15.63333
Guatemala,Quetzaltenango,La Esperanza,-91.71338713,14.7880793
Guatemala,Escuintla,La gomera,-91.170245,13.98867807
Guatemala,Huehuetenango,La Libertad,-91.83333,15.5
Guatemala,Petén,La Libertad,-89.42623822,16.35782151
Guatemala,Alta Verapaz,La Tinta,-89.71667,15.85
Guatemala,Alta Verapaz,Lanquín,-90.10134012,15.64019212
Guatemala,Petén,Las Cruces,-89.7,16.96667
Guatemala,Izabal,Livingston,-88.92416215,15.43712489
Guatemala,Izabal,Los Amates,-88.92416215,15.43712489
Guatemala,Huehuetenango,Malacatancito,-91.56141395,15.65060596
Guatemala,Escuintla,Masagua,-91.00738738,14.1651146
Guatemala,Jalapa,Mataquescuintla,-89.94599608,14.621231
Guatemala,Petén,Melchor de Mencos,-89.15222,17.06861
Guatemala,Guatemala,Mixco,-90.37988234,14.64540695
Guatemala,Totonicapán,Momostenango,-91.37720939,15.01555946
Guatemala,Jalapa,Monjas,-89.94599608,14.621231
Guatemala,Izabal,Morales,-88.92416215,15.43712489
Guatemala,El Progreso,Morazán,-90.08239394,14.90855374
Guatemala,Jutiapa,Moyuta,-89.89924748,14.20975815
Guatemala,Quiché,Nebaj,-90.94953373,15.45303782
Guatemala,Huehuetenango,Nentón,-91.56141395,15.65060596
Guatemala,Escuintla,Nueva Concepción,-90.78652876,14.32214033
Guatemala,Retalhuleu,Nuevo San Carlos ,-91.6,14.36667
Guatemala,Quetzaltenango,Olintepeque,-91.51667,14.86667
Guatemala,Chiquimula,Olopa,-89.42550799,14.68875757
Guatemala,Quiché,Pachalum,-90.94953373,15.45303782
Guatemala,Guatemala,Palencia,-90.37513832,14.69917808
Guatemala,Quetzaltenango,Palestina de los Altos,-91.7,14.93333
Guatemala,Escuintla,Palín,-91.00738738,14.1651146
Guatemala,Alta Verapaz,Panzós,-89.66667,15.4
Guatemala,Chimaltenango,Parramos,-90.92212206,14.6965749
Guatemala,Jutiapa,Pasaco,-89.89924748,14.20975815
Guatemala,Chimaltenango,Patzicia,-90.92212206,14.6965749
Guatemala,Quiché,Patzité,-90.94953373,15.45303782
Guatemala,Chimaltenango,Patzún,-90.92212206,14.6965749
Guatemala,Huehuetenango,Petatán,-91.73333,15.61667
Guatemala,Chimaltenango,Pochuta,-90.92212206,14.6965749
Guatemala,Petén,Poptún,-90.02071868,16.97973195
Guatemala,Izabal,Puerto Barrios,-88.6,15.71667
Guatemala,Baja Verapaz,Purulhá,-90.2,15.26667
Guatemala,Jutiapa,Quesada,-89.89924748,14.20975815
Guatemala,Quetzaltenango,Quetzaltenango,-91.51667,14.83333
Guatemala,Chiquimula,Quetzaltepeque,-89.42550799,14.68875757
Guatemala,Baja Verapaz,Rabinal,-90.45,15.1
Guatemala,Alta Verapaz,Raxruhá,-90.03333,15.86667
Guatemala,Retalhuleu,Retalhuleu ,-91.68333,14.53333
Guatemala,Quiché,Sacapulas,-90.94953373,15.45303782
Guatemala,Baja Verapaz,Salamá,-90.26667,15.3
Guatemala,Quetzaltenango,Salcajá,-91.71338713,14.7880793
Guatemala,El Progreso,San Agustín Acasguastlán,-90.08239394,14.90855374
Guatemala,Petén,San Andrés,-89.41220774,16.51616159
Guatemala,Chimaltenango,San Andrés Itzapa,-90.84417,14.62
Guatemala,Quiché,San Andrés Salcabajá,-90.94953373,15.45303782
Guatemala,Retalhuleu,San Andrés Villa Seca ,-91.85454827,14.37632
Guatemala,Huehuetenango,San Antonio Huista,-91.56141395,15.65060596
Guatemala,Quiché,San Antonio Ilotengango,-90.94953373,15.45303782
Guatemala,El Progreso,San Antonio La Paz,-90.08239394,14.90855374
Guatemala,Quiché,San Bartolomé Jocotenango,-90.94953373,15.45303782
Guatemala,Petén,San Benito,-90.02071868,16.97973195
Guatemala,Jalapa,San Carlos Alzatate,-89.94599608,14.621231
Guatemala,Quetzaltenango,San Carlos Sija,-91.71338713,14.7880793
Guatemala,El Progreso,San Cristóbal Acasaguastlán,-89.88333,14.91667
Guatemala,Alta Verapaz,San Cristóbal Verapaz,-90.4,15.38333
Guatemala,Retalhuleu,San Felipe San Martín Zapotitlán ,-91.6,14.6
Guatemala,Petén,San Francisco,-89.41765567,16.33871433
Guatemala,Quetzaltenango,San Francisco La Unión,-91.71338713,14.7880793
Guatemala,Huehuetenango,San Gaspar Ixchil,-91.56141395,15.65060596
Guatemala,Huehuetenango,San Idelfonso Ixtahuacán,-91.76667,15.41667
Guatemala,Chiquimula,San Jacinto,-89.42550799,14.68875757
Guatemala,Baja Verapaz,San Jerónimo,-90.38505493,15.11763409
Guatemala,Escuintla,San José,-90.70008889,14.40539426
Guatemala,Petén,San José,-89.89624585,16.9950368
Guatemala,Jutiapa,San José Acatempa,-89.89924748,14.20975815
Guatemala,Guatemala,San José del Golfo,-90.3610157,14.77274493
Guatemala,Chiquimula,San José la Arada,-89.38333,14.55
Guatemala,Guatemala,San José Pinula,-90.41599235,14.54776038
